state,total_sales
California,446306.4635
New York,306361.147
Texas,168572.5322
Washington,135206.85
Pennsylvania,116276.65
Florida,88436.532
Illinois,79236.517
Michigan,76136.074
Ohio,75130.35
Virginia,70636.72
North Carolina,55165.964
Indiana,48718.4
Georgia,48219.11
Kentucky,36458.39
Arizona,35272.657
New Jersey,34610.972
Colorado,31841.598
Wisconsin,31173.43
Tennessee,30661.873
Minnesota,29863.15
Massachusetts,28634.434
Delaware,27322.999
Maryland,23705.523
Rhode Island,22525.026
Missouri,22205.15
Oklahoma,19683.39
Alabama,19510.64
Oregon,17284.462
Nevada,16729.102
Connecticut,13384.357
Arkansas,11678.13
Utah,11220.056
Mississippi,10771.34
Louisiana,9131.05
Vermont,8929.369999999999
South Carolina,8481.71
Nebraska,7464.93
New Hampshire,7292.524
Montana,5589.352
New Mexico,4783.522
Iowa,4443.5599999999995
Idaho,4382.486
Kansas,2914.31
District of Columbia,2865.02
Wyoming,1603.136
South Dakota,1315.56
Maine,1270.53
West Virginia,1209.824
North Dakota,919.91
